Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Min,trainer/Bellman Errors 2 Std,trainer/Policy Action Max,trainer/Policy Action Mean,trainer/Policy Action Min,trainer/Policy Action Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss
0,0,0.0066804746,0.00023876384,-0.0033947371,0.0010970809,0.3263503542131776,5,0.5430215207265082,0.3263503542131776,0.13396624250572414,0.180202927119368,0.05770806195217136,0.016317517710658883,0.0004044786812210433,0.014407851783374063,0.00926910091765317,0.004357823085748785,0.0004890013686415401,0.0029556563214830495,0.05595509602003515,0.02810117535281067,0.0018118127001913661,0.020762837642303664,0.05770806195217136,0.016317517710658883,0.0004044786812210433,0.014407851783374063,5,100,20,20.0,20,0.0,0.361512215752563,0.00016924952289625627,-0.46983757888269234,0.09957449057853739,0.12651162770497826,25,0.44920787139707535,0.12651162770497826,0.003629714635531408,0.13998160390999217,0.07512384633037936,0.006325581385248914,1.89592378398648e-05,0.011952367707739015,0.010544475701676194,0.001139469288978449,3.4623475543321454e-05,0.002108120092925127,0.058789734962242705,0.013209807190432908,0.00010324190005808733,0.014103280185050943,0.07512384633037936,0.006325581385248914,1.89592378398648e-05,0.011952367707739015,525,10500,20,20.0,20,0.0,10500,0.0021425930001441884,157.46954345199993,145.48315422399992,7.31909328200004,0.002203577000045698,0.0061491199999181845,160.74167328099975,4.656800655999859,100.05049,1.8394766,1.0613117e-09,12.844762,100.04336,1.8392373,6.562467e-13,12.84348,0.0074845646,0.00024046049,-0.007643008,0.0013666772,0.001676223,10.00084,0.22904554,-0.0019424229,1.3366386,-8.717576e-05,-0.0025145253,-0.0073812935,0.0011185006,0.0037211715,-0.00042876718,-0.0030601786,0.001067335,1.8394765,1.8392373
1,1,1.0,0.33246845,-1.0,0.9393775,0.03242309615527478,5,0.06727297801671732,0.03242309615527478,0.014921522353420895,0.019431547287337,0.03477902913822121,0.0016211548077637386,2.8486284543117314e-07,0.004088416353695083,2.9877877331432877e-05,7.085390905181606e-06,2.8486284543117314e-07,1.1449630817358336e-05,0.010583731161820693,0.003379208749342586,3.713437540543078e-05,0.004289328867532316,0.03477902913822121,0.0016211548077637386,2.8486284543117314e-07,0.004088416353695083,10,200,20,20.0,20,0.0,1.0,0.318137201438956,-1.0,0.8953716306261468,0.052302535786980575,25,0.1431768377057138,0.052302535786980575,0.01392701267742467,0.034939737341828106,0.10175382827361289,0.002615126789349029,1.2568194338795573e-09,0.008051274590383609,2.7630883094573536e-05,1.2700353630104426e-06,2.575344662974751e-09,5.398287630239333e-06,0.05898401433849587,0.006932760011272457,5.3769253697944176e-05,0.013445528913669217,0.10175382827361289,0.002615126789349029,1.2568194338795573e-09,0.008051274590383609,550,11000,20,20.0,20,0.0,11000,0.0021309929998096777,8.921776449999925,0.6838293370001338,3.8682955649999258,0.002531038999904922,0.0024384559999361954,169.6650910399992,4.362551060000214,1066.5137,5.1816797,1.1046018e-07,35.382317,799.8649,3.9815087,1.0471276e-06,26.188805,1.0,0.33315265,-1.0,0.94222444,-8.633796,24.40482,4.4202204,1.034857,2.9462433,37.866467,4.697135,1.5247673,3.5308423,33.49083,4.646551,1.6435622,3.3295271,5.1816797,3.9815087
2,2,1.0,-0.03902791,-1.0,0.9974571,0.10162290685337345,5,0.16040804543171217,0.10162290685337345,0.02848075622123581,0.04764356027319161,0.07122460314341891,0.005081145342668673,3.57346406474995e-13,0.01345350036051132,2.934781536088568e-08,9.353793423721256e-09,3.57346406474995e-13,1.2059427763707545e-08,0.01084767289714768,0.005548834998364139,0.0002236434266256254,0.004429741715060494,0.07122460314341891,0.005081145342668673,3.57346406474995e-13,0.01345350036051132,15,300,20,20.0,20,0.0,1.0,-0.030231800438514617,-1.0,0.9610031613482077,0.0809915209525763,25,0.3035531115223802,0.0809915209525763,0.01405653780876468,0.07701329527387903,0.2725426834869199,0.004049576047628816,4.857100143909023e-14,0.01978495131647479,6.046954528273037e-07,2.5262465937599312e-08,4.857100143909023e-14,1.1830750261802712e-07,0.031128203497676876,0.005308778441181319,6.048149663847591e-06,0.006961237895481238,0.2725426834869199,0.004049576047628816,4.857100143909023e-14,0.01978495131647479,575,11500,20,20.0,20,0.0,11500,0.0019561449998946046,10.059746830999757,0.9145853960001205,4.185446457999888,0.002175911999984237,0.002487788999815166,179.72827802699885,4.953095131000055,1761.9867,10.32589,1.8335504e-07,48.449585,999.1051,8.889654,1.5214118e-07,33.932953,1.0,-0.10238508,-1.0,0.990897,-24.197895,52.46665,14.508415,0.42879632,6.1061387,63.47434,14.788004,0.7975073,5.8247685,53.106937,14.738877,2.1616623,5.7027597,10.32589,8.889654
3,3,1.0,0.033656064,-1.0,0.9911663,0.12101377322049026,5,0.16590203013329832,0.12101377322049026,0.07731349757806064,0.032748899218633665,0.04152459563058928,0.006050688661024512,4.795738117129689e-06,0.007577936753900702,0.024381666802335708,0.010025541195280095,0.0004839768179792409,0.008392252218000155,0.04152459563058928,0.022271572069083152,0.003602433456822956,0.012664889039664153,0.04152459563058928,0.006050688661024512,4.795738117129689e-06,0.007577936753900702,20,400,20,20.0,20,0.0,1.0,0.02349535274516767,-1.0,0.9514013595742247,0.17988870761412737,25,0.36118063598376116,0.17988870761412737,0.09589773359760602,0.056298278506528264,0.06119790900188766,0.00899443538070637,4.914465200746155e-06,0.009635519145572419,0.05501911757788614,0.010815699166056167,7.534418676811556e-05,0.012346599819218733,0.06119790900188766,0.023101790145394787,0.003482819133182202,0.014530937746030263,0.06119790900188766,0.00899443538070637,4.914465200746155e-06,0.009635519145572419,600,12000,20,20.0,20,0.0,12000,0.0015169410000908101,7.353600221000306,0.4246239550000155,2.5973799960001998,0.002249456000072314,0.002462605999880907,187.08407202899934,4.325367267000047,480.9331,9.448182,1.6822014e-08,32.794018,523.1946,8.963893,4.0108716e-08,30.73904,1.0,0.05311279,-1.0,0.9884145,-33.167793,58.332863,24.23296,2.6124005,6.52673,58.54406,24.680885,3.042395,6.5376744,59.323624,24.655453,3.0983255,6.525254,9.448182,8.963893
4,4,1.0,0.14407219,-1.0,0.98239195,0.42521813748217047,5,0.8284664586184066,0.42521813748217047,0.19688779096310124,0.21334168784649682,0.19101206741166768,0.021260906874108528,6.647865500484734e-05,0.026369564697303453,0.0488625981346682,0.03317724883024696,0.010426341156921832,0.013204882160788,0.04793968632680676,0.027029728578607953,0.0071724904317478615,0.015471026194373063,0.19101206741166768,0.021260906874108528,6.647865500484734e-05,0.026369564697303453,25,500,20,20.0,20,0.0,1.0,0.1554037121464192,-1.0,0.9434191241139579,0.33807537991705877,25,0.4748020428256287,0.33807537991705877,0.23859643493468552,0.058736591554024976,0.07920139690574943,0.01690376899585294,6.943601520145325e-05,0.012972476840935216,0.07920139690574943,0.038227615682879745,0.003877699272452766,0.023568623537928043,0.05556360659516015,0.018454520691458517,0.006715722015987094,0.01071963860616157,0.07920139690574943,0.01690376899585294,6.943601520145325e-05,0.012972476840935216,625,12500,20,20.0,20,0.0,12500,0.0015326329998970323,7.430594812999971,0.6425597739998921,2.6496725260001313,0.002271024000037869,0.0023918019999200624,194.51740917899974,4.132167054000092,342.96252,1.9399095,1.3133103e-09,10.879448,348.69263,1.8571184,7.6488504e-08,9.395918,1.0,0.08943192,-1.0,0.99277586,-24.650637,54.916267,22.85158,5.3814263,4.5116396,53.09987,22.886446,4.995484,4.389448,53.273388,22.905163,4.696553,4.4047074,1.9399093,1.8571182
5,5,1.0,0.21005717,-1.0,0.9731839,0.14871050668136335,5,0.21406950255014134,0.14871050668136335,0.09597562866366038,0.038619463151897,0.03824663562537941,0.007435525334068167,9.563911246295665e-06,0.008749005132748287,0.02355975765741014,0.011418198675183967,0.0020579157081578887,0.007321029324321803,0.010530041530668343,0.005656751715781555,0.0008771268121746987,0.0038222141944911406,0.03824663562537941,0.007435525334068167,9.563911246295665e-06,0.008749005132748287,30,600,20,20.0,20,0.0,1.0,0.2027293076371445,-1.0,0.9353005251279058,0.2046369710737837,25,0.3632514222876001,0.2046369710737837,0.1085242956880846,0.07284835880601138,0.10030187866584866,0.010231848553689183,3.57340109818382e-05,0.013862953269645987,0.10030187866584866,0.01587330092099273,0.00017841999820506703,0.02321547490783971,0.06002357380045257,0.0197531061697954,7.510650249424174e-05,0.018652449046523013,0.10030187866584866,0.010231848553689183,3.57340109818382e-05,0.013862953269645987,650,13000,20,20.0,20,0.0,13000,0.0016437849999419996,8.702892450000036,0.7611093909999909,3.5129326839999067,0.002256049000152416,0.003633281000020361,203.2225760259994,4.4213172600000235,426.1239,1.3935713,4.2433385e-08,10.455811,415.25287,1.3257089,1.6660488e-07,9.862992,1.0,0.18277597,-1.0,0.9792735,-21.890368,48.213623,21.263174,6.0162144,3.9230533,46.495037,21.302223,6.3612647,3.757135,47.375698,21.296583,6.307713,3.7772207,1.3935713,1.325709
6,6,1.0,0.183606,-1.0,0.97602725,0.1787505088671704,5,0.24515799733825874,0.1787505088671704,0.07132026391432511,0.0631907726027462,0.07538435857594451,0.008937525443358517,2.2546943033133368e-05,0.01259864547575114,0.07538435857594451,0.01927981799044573,0.00014653928038625683,0.028664809150236264,0.012464979428992667,0.00476258978182375,0.0002419120257270468,0.0041122526983560625,0.07538435857594451,0.008937525443358517,2.2546943033133368e-05,0.01259864547575114,35,700,20,20.0,20,0.0,1.0,0.18297712066097446,-1.0,0.9395467360094556,0.1899241646838837,25,0.3093418294356562,0.1899241646838837,0.11410483895392032,0.047035652364322854,0.09474707191893968,0.009496208234194186,3.2847483454568106e-05,0.01254622516434341,0.09474707191893968,0.018522788994657462,0.00030088119762263085,0.0217624344285998,0.029874143720296033,0.006614453979174369,4.901907852878132e-05,0.007441001563683072,0.09474707191893968,0.009496208234194186,3.2847483454568106e-05,0.01254622516434341,675,13500,20,20.0,20,0.0,13500,0.0015270730000338517,7.685295961000293,0.6055235119999907,2.9772230680000575,0.002854554000123244,0.0027808279999135266,210.9104608209998,4.095386926000174,133.36702,0.69283795,3.637979e-12,4.1968637,123.566414,0.6548525,2.8521754e-09,3.7842758,1.0,0.17666037,-1.0,0.98077995,-18.842003,43.427105,18.800951,6.3853073,3.39404,41.729233,18.831303,6.812908,3.2334573,40.761143,18.83292,6.575842,3.2456648,0.692838,0.6548525
7,7,1.0,0.16418736,-1.0,0.9831007,0.20714207478098956,5,0.27065517752220414,0.20714207478098956,0.1341336645445138,0.04926747635945398,0.04603914819629594,0.01035710373904948,5.392645455988732e-05,0.009366686673350418,0.020717043304775487,0.011581260842464242,0.007011776354757324,0.004773831422069325,0.01828816269921074,0.007406397724016639,0.000577390065008376,0.0060853532767600116,0.04603914819629594,0.01035710373904948,5.392645455988732e-05,0.009366686673350418,40,800,20,20.0,20,0.0,1.0,0.15946223089070652,-1.0,0.9450054821439041,0.24772559825283622,25,0.3488312386696631,0.24772559825283622,0.1098796471317221,0.05984232261191112,0.06963358821102848,0.012386279912641811,2.2405730606485165e-05,0.011889873534816837,0.06963358821102848,0.0213667966875479,0.002481537657503975,0.01714784377664466,0.051746612721467126,0.011125821817515312,0.00016453820802946376,0.012152842737847593,0.06963358821102848,0.012386279912641811,2.2405730606485165e-05,0.011889873534816837,700,14000,20,20.0,20,0.0,14000,0.00213413300002685,7.9346677780001755,0.5237450950000948,2.850295954000103,0.002213084999993953,0.002454853000017465,218.8478052979999,4.5538246579999395,274.17188,0.5982344,4.0827217e-09,6.304607,284.211,0.5942179,2.1569576e-08,6.385341,1.0,0.13209374,-1.0,0.9867656,-16.518383,40.46163,16.4789,6.0366077,2.807077,39.00821,16.488497,6.561454,2.7514539,38.745125,16.487967,6.446676,2.7438076,0.5982344,0.59421796
8,8,1.0,-0.024191355,-1.0,0.995488,1.3276925846374668,5,3.0683538093577822,1.3276925846374668,0.15807857706695996,1.0484590990922464,2.9562562231487726,0.06638462923187335,6.7729886165729145e-09,0.35306438300843906,9.035111368884113e-06,1.8211389203043597e-06,6.7729886165729145e-09,3.60699568060773e-06,0.023268490820082144,0.009078709872228039,7.211614665720065e-05,0.007934019541661333,2.9562562231487726,0.06638462923187335,6.7729886165729145e-09,0.35306438300843906,45,900,20,20.0,20,0.0,1.0,-0.038328453687061434,-1.0,0.9564122467925866,0.820064610034821,25,5.266415230073607,0.820064610034821,0.09490685806547443,1.20663560817361,2.8380991913993876,0.04100323050174106,4.389859876765751e-09,0.1799780082391994,0.019548904622752383,0.0008092142667271791,4.7587199514827674e-09,0.0038273038044693373,0.07568803170762967,0.02151635479459145,0.00018035626191844844,0.017866339327105768,2.8380991913993876,0.04100323050174106,4.389859876765751e-09,0.1799780082391994,725,14500,20,20.0,20,0.0,14500,0.0021461720000388596,8.593124522000153,0.5274009790000491,3.577273931000036,0.0028499259999534843,0.002764651999996204,227.4430693259999,4.480688862000079,6467.2754,13.537801,2.5669578e-08,188.65608,7098.857,12.751635,2.5669578e-08,181.48805,1.0,-0.12982891,-1.0,0.9904861,-21.682037,86.57082,19.536991,6.086787,5.7513566,115.296776,19.710228,6.183277,6.404362,119.13212,19.700874,6.551655,6.301414,13.5378,12.751635
9,9,1.0,-0.28086656,-1.0,0.95326847,0.19776364579838385,5,0.757443169753737,0.19776364579838385,0.010724369608073825,0.2818196914154795,0.5782720875101338,0.009888182289919193,1.3153049769295735e-11,0.05798875802083231,0.00037656273161096863,7.532674294093181e-05,1.3153049769295735e-11,0.0001506179946871584,0.015309308238570175,0.005614281538674429,0.0015101506458135264,0.005063067202838793,0.5782720875101338,0.009888182289919193,1.3153049769295735e-11,0.05798875802083231,50,1000,20,20.0,20,0.0,1.0,-0.27787673074745944,-1.0,0.9178574949769951,0.17938112423518537,25,0.7140215309969346,0.17938112423518537,0.030163021622848736,0.1613273791966075,0.44971979282773733,0.008969056211759266,6.312319669944099e-12,0.02967728708750465,0.1212714510120007,0.006722384645686743,6.312319669944099e-12,0.024939986382665005,0.0535344793816922,0.0072033118944172195,0.00015473696994175215,0.012621510263048193,0.44971979282773733,0.008969056211759266,6.312319669944099e-12,0.02967728708750465,750,15000,20,20.0,20,0.0,15000,0.0015862980001202232,9.389504426000485,0.7336635290000686,3.822582023999985,0.0022139150000839436,0.002429497000093761,236.8352149740001,4.827029163000134,554.60284,7.0501666,2.4782275e-07,29.219423,838.4323,7.633524,6.356422e-07,36.641365,1.0,-0.32547393,-1.0,0.9449739,-25.809574,73.909874,22.612082,6.5968447,7.864086,74.92002,22.67548,7.9771924,7.8384595,89.58579,22.72791,8.223143,8.007812,7.050166,7.633524
