Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Bellman Errors Max,trainer/Bellman Errors Mean,trainer/Bellman Errors Min,trainer/Bellman Errors Std,trainer/Policy Action Max,trainer/Policy Action Mean,trainer/Policy Action Min,trainer/Policy Action Std,trainer/Policy Loss,trainer/Preactivation Policy Loss,trainer/Q Predictions Max,trainer/Q Predictions Mean,trainer/Q Predictions Min,trainer/Q Predictions Std,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/QF Loss,trainer/Raw Policy Loss
0,0,8.907515e-05,-9.78714e-06,-0.00014138252,4.2895685e-05,0.38600680797100917,10,1.1554000061694043,0.38600680797100917,0.0015649036809670669,0.4151969776823631,0.1654787389992789,0.00965017019927523,0.0,0.02898918170528496,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1654787389992789,0.00965017019927523,0.0,0.02898918170528496,10,400,40,40.0,40,0.0,1.0,-0.017566663834882413,-1.0,0.507458438034281,0.943384392384269,50,18.72040961723337,0.943384392384269,0.0,2.8043191208440557,1.3621949836015896,0.023584609809606725,0.0,0.10174674938740187,1.3621949836015896,0.027243900387880462,0.0,0.19070729760195854,0.0055609946680847955,0.00029674534697879287,0.0,0.0010681901123114714,1.3621949836015896,0.023584609809606725,0.0,0.10174674938740187,50,2000,40,40.0,40,0.0,2000,0.005891159002203494,23.631200254007126,3.346973050996894,16.806927854006062,0.00400819699279964,0.0008040130051085725,26.885982014006004,3.466595980004058,1.7666906,0.010553621,9.324598e-13,0.08764476,0.0058676437,-7.464023e-06,-0.002759153,7.325074e-05,4.8102695e-05,0.0,0.00034241797,-0.0003965942,-0.012908869,0.00034610005,1.3287624,0.023811385,-0.012344792,0.09982349,0.010553621,4.8102695e-05
1,1,0.9998345,-0.33320937,-0.9998629,0.94254875,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,800,40,40.0,40,0.0,1.0,-0.2558353002366945,-1.0,0.8100646357826933,0.010668904816936076,50,0.16428990346183947,0.010668904816936076,0.0,0.026593613040842807,0.03800539019413618,0.0002667226204234019,0.0,0.0021361097089108707,0.0007132599327044353,2.3239731721949043e-05,0.0,0.00010422820836796174,0.0,0.0,0.0,0.0,0.03800539019413618,0.0002667226204234019,0.0,0.0021361097089108707,100,4000,40,40.0,40,0.0,4000,0.00590069500321988,22.458422553972923,3.0947567179973703,16.060608625994064,0.003907488993718289,0.0007730469951638952,49.34619417099748,3.292475978989387,1.4931316,0.0046681524,2.6187852e-10,0.04486327,1.0,-0.33324078,-1.0,0.9426166,-0.15654714,0.0,0.7539363,0.13624603,0.06892291,0.024127726,1.3875113,0.13105533,0.118035614,0.06584371,0.0046681524,-0.15654714
2,2,0.9999834,-0.33332223,-0.9999865,0.9427808,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1200,40,40.0,40,0.0,1.0,-0.26490235471524454,-1.0,0.7997124507583329,0.012492496967449772,50,0.15486284334563183,0.012492496967449772,0.0,0.03196771071024538,0.03349427950493267,0.00031231242418624426,0.0,0.002274263072927383,0.0049954360827162425,0.00010274521259665548,0.0,0.0006991945433319102,0.0,0.0,0.0,0.0,0.03349427950493267,0.00031231242418624426,0.0,0.002274263072927383,150,6000,40,40.0,40,0.0,6000,0.005773887998657301,22.87089782602561,3.1372841050033458,16.222510716004763,0.005364997006836347,0.0009965089993784204,72.21872781899583,3.498967611012631,1.7538657,0.002671273,1.7846224e-11,0.044501353,1.0,-0.33332422,-1.0,0.942786,-0.115281284,0.0,0.42521596,0.12271695,0.08147408,0.020286318,1.4787753,0.1211215,0.10719821,0.05330711,0.0026712725,-0.115281284
3,3,0.9999918,-0.33332962,-0.9999934,0.9427974,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1600,40,40.0,40,0.0,1.0,-0.27021159491384705,-1.0,0.8078531587680977,0.006458884885712508,50,0.1701310280595083,0.006458884885712508,0.0,0.024665743848788772,0.03728433300810807,0.0001614721221428127,0.0,0.0017078741506171412,0.007841255085125232,0.00021250635222735959,0.0,0.001119433956936616,0.0,0.0,0.0,0.0,0.03728433300810807,0.0001614721221428127,0.0,0.0017078741506171412,200,8000,40,40.0,40,0.0,8000,0.005935181994573213,22.641075690989965,3.1182815060019493,16.14154638700711,0.003960176996770315,0.0007800559978932142,94.86164399098197,3.370572382991668,1.73836,0.0027815462,3.2912562e-13,0.047593683,1.0,-0.33333036,-1.0,0.9427997,-0.075778894,0.0,0.19608608,0.081691496,0.059054736,0.015666166,1.4377306,0.08127709,0.05864862,0.05612056,0.0027815462,-0.075778894
4,4,0.99999493,-0.33333132,-0.9999962,0.9428025,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2000,40,40.0,40,0.0,1.0,-0.2654559663552019,-1.0,0.8107047093984745,0.007573272817556606,50,0.2269431605513288,0.007573272817556606,0.0,0.03260547308328681,0.030085717078295104,0.00018933182043891518,0.0,0.0017504577035421301,0.0040994549276067715,0.00011276052513119695,0.0,0.0005796983656908598,0.0,0.0,0.0,0.0,0.030085717078295104,0.00018933182043891518,0.0,0.0017504577035421301,250,10000,40,40.0,40,0.0,10000,0.005849925000802614,22.454373024971574,3.1334102029941278,16.094706586998655,0.004086381988599896,0.0007948429993120953,117.3179481029656,3.2155250849900767,1.1082605,0.0022140765,1.1114581e-12,0.03259132,1.0,-0.33333156,-1.0,0.9428032,-0.051089752,0.0,0.16960393,0.055826765,0.030419342,0.014343221,1.2212613,0.056320585,0.030543393,0.05142954,0.0022140765,-0.051089752
